code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,KDJ,BIGVOLUME
002125,湘潭电化,化工原料,湖南,299.99,22260.9,34560.0,207910.69,67049.71,94938.05,81962.52,2.37,0.04,3.02,5.23,20070403,-100,-100
002196,方正电机,纺织机械,浙江,80.66,12478.29,26523.5,280152.72,104871.76,32938.82,188652.91,7.11,0.28,8.58,3.39,20071212,0,0
002353,杰瑞股份,化工机械,山东,127.27,67382.03,95785.39,1011738.88,738436.31,167407.55,369801.0,3.86,0.109,8.18,2.27,20100205,0,0
600529,山东药玻,玻璃,山东,31.6,25738.0,25738.0,317373.88,174468.97,121057.1,58580.33,2.28,0.505,9.01,2.36,20020603,0,0
600487,亨通光电,通信设备,江苏,17.02,115126.9,124126.9,1933643.0,1320422.38,332067.81,85257.43,0.69,0.844,4.57,4.19,20030822,0,0
002556,辉隆股份,其他商业,安徽,50.84,69778.32,71760.0,576365.88,409352.59,52090.96,80511.96,1.12,0.142,3.07,3.13,20110302,0,0
600090,同济堂,医药商业,新疆,58.31,36791.66,143966.3,703165.25,480526.56,85500.38,194255.75,1.35,0.21,3.67,3.64,19970616,0,0
600995,文山电力,水力发电,云南,30.25,47852.64,47852.64,280822.84,29963.11,177182.52,15560.57,0.33,0.308,3.3,3.76,20040615,0,0
600017,日照港,港口,山东,43.44,307565.38,307565.38,1940392.75,296308.41,1076051.13,295582.47,0.96,0.075,3.37,1.29,20061017,0,1
600717,天津港,港口,天津,13.71,167476.91,167476.91,3317277.25,963576.69,1380881.25,348210.16,2.08,0.598,9.01,1.21,19960614,0,1
603019,中科曙光,电脑设备,天津,212.41,35873.08,64302.39,546683.31,341818.75,74195.15,156947.5,2.44,0.116,4.27,7.7,20141106,0,0
002383,合众思壮,通信设备,北京,776.97,12877.51,24438.26,478936.34,228541.2,56608.98,286010.97,11.7,0.06,14.08,3.43,20100402,0,0
600966,博汇纸业,造纸,山东,35.94,133684.42,133684.42,1241768.25,616070.19,552976.06,131503.27,0.98,0.08,3.01,1.28,20040608,0,0
600758,红阳能源,煤炭开采,辽宁,0.0,11531.03,133296.2,1639188.63,616389.25,733649.69,339982.38,2.55,-0.23,3.49,4.4,19961029,0,0
600613,神奇制药,中成药,上海,65.05,47932.0,53407.16,277016.91,168184.22,35492.56,96933.85,1.81,0.184,4.23,3.76,19920820,1,0
002140,东华科技,建筑施工,安徽,64.95,43922.6,44603.44,571874.0,516897.34,21497.65,9062.87,0.2,0.184,4.57,3.49,20070712,1,0
300174,元力股份,化工原料,福建,232.78,7350.41,13600.0,110533.4,33377.89,33357.35,25287.8,1.86,0.165,3.91,13.11,20110201,1,0
300114,中航电测,元器件,陕西,95.85,30419.35,39384.03,191403.06,126319.31,41327.78,39178.37,0.99,0.216,3.35,8.21,20100827,0,0
300229,拓尔思,软件服务,北京,168.34,42814.87,47163.75,191131.8,84980.55,17530.31,60213.42,1.28,0.091,3.38,6.04,20110615,0,0
600530,交大昂立,医疗保健,上海,38.19,78000.0,78000.0,259847.09,43257.12,8384.65,6028.71,0.08,0.174,2.1,4.23,20010702,0,0
600023,浙能电力,火力发电,浙江,9.71,298759.97,1360069.0,10520352.0,2495662.0,5310620.5,2385238.0,1.75,0.43,4.26,1.31,20131219,0,0
000056,皇庭国际,房产服务,深圳,147.39,28611.11,114778.47,993346.0,83418.3,5438.14,177512.8,1.55,0.065,4.42,2.89,19960708,0,1
600386,北巴传媒,公共交通,北京,52.5,40320.0,40320.0,346205.09,215661.41,46750.98,64696.73,1.6,0.223,4.34,3.59,20010216,1,0
601113,华鼎股份,化纤,浙江,230.43,64000.0,83305.0,437797.91,256612.8,150705.55,149112.27,1.79,0.034,3.25,3.25,20110509,0,0
002010,传化智联,染料涂料,浙江,85.65,41282.3,325781.47,1561380.63,956878.5,126043.36,593712.31,1.82,0.176,3.41,5.88,20040629,0,0
002585,双星新材,塑料,江苏,53.46,53859.23,71732.77,589242.19,269945.13,171283.27,363673.84,5.07,0.157,7.42,1.5,20110602,0,0
600221,海南航空,空运,海南,12.48,1181206.38,1680612.0,15292251.0,4488968.0,5759003.5,1754656.38,1.04,0.27,3.33,1.01,19991125,0,1
002017,东信和平,通信设备,广东,98.87,34202.57,34641.62,157486.25,120789.3,22423.0,20041.71,0.58,0.12,2.48,6.38,20040713,0,0
002740,爱迪尔,服饰,深圳,99.49,12936.0,30000.0,148637.44,139612.22,4445.31,22223.57,0.74,0.132,3.26,5.37,20150122,0,0
